Country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Belgium,12832.0,12607.0,12445.0,14532.0,15522.0,16227.0,11582.0,12145.0,11256.0,12601.0,13442.0,12422.0,12377.0,9992.0,10154.0,11300.0,10683.0,9713.0,9783.0,1217.0,10948.0,11453.0,11348.0,10331.0,10172.0,11331.0,11606.0,10818.0,10739.0,11425.0,10931.0,11636.0,10762.0,11343.0,11114.0,11698.0,10420.0,11631.0,10692.0,10673.0,5635.0,7973.0,8026.0,7301.0,7127.0,7331.0,7257.0,7687.0,7842.0,7980.0,7760.0
Denmark,482.0,413.0,471.0,498.0,453.0,453.0,557.0,722.0,686.0,863.0,804.0,734.0,612.0,560.0,493.0,548.0,528.0,632.0,606.0,650.0,624.0,610.0,633.0,591.0,603.0,722.0,654.0,739.0,786.0,790.0,729.0,801.0,751.0,392.0,,,,,,,,,,,,,,,,,
France,22510.0,23774.0,22843.0,24054.0,25270.0,27021.0,21531.0,23227.0,22094.0,22841.0,23360.0,23176.0,21258.0,18402.0,17582.0,19000.0,18808.0,17857.0,17693.0,19122.0,19337.0,19016.0,18434.0,17972.0,17106.0,18031.0,18100.0,17633.0,19767.0,20126.0,20200.0,20954.0,19343.0,20258.0,19758.0,20770.0,19481.0,19852.0,19250.0,17879.0,12840.0,15414.0,15780.0,15609.0,15685.0,16143.0,14984.0,14413.0,15505.0,15387.0,14450.0
West Germany,45316.0,45041.0,40313.0,43705.0,49521.0,53232.0,40412.0,42413.0,38984.0,41253.0,46040.0,43838.0,41610.0,35880.0,35729.0,39389.0,40497.0,37134.0,36248.0,41023.0,41073.0,38434.0,42169.0,39711.0,37625.0,40837.0,42051.0,39793.0,45007.0,44046.0,42062.0,,,,,,,,,,,,,,,,,,,,
Ireland,81.0,80.0,80.0,77.0,116.0,110.0,81.0,58.0,47.0,69.0,72.0,2.0,32.0,61.0,141.0,166.0,203.0,208.0,220.0,271.0,324.0,326.0,293.0,257.0,326.0,265.0,310.0,341.0,337.0,358.0,335.0,360.0,150.0,,,,,,,,,,,,,,,,,,
Italy,16428.0,17277.0,17452.0,19813.0,20995.0,23804.0,21865.0,23455.0,23335.0,24283.0,24250.0,26501.0,24777.0,24009.0,21811.0,24062.0,23898.0,23985.0,22819.0,23760.0,25180.0,25467.0,25112.0,24835.0,25721.0,26751.0,26151.0,27766.0,23910.0,25714.0,24908.0,26759.0,26545.0,26066.0,27058.0,28604.0,29350.0,31624.0,31553.0,30590.0,19848.0,25750.0,28735.0,27252.0,24093.0,23714.0,21958.0,23312.0,24007.0,24496.0,23190.0
Luxembourg,5521.0,5462.0,5241.0,5457.0,5924.0,6447.0,4624.0,4565.0,4329.0,4790.0,4949.0,4618.0,3790.0,3510.0,3294.0,3987.0,3945.0,3705.0,3302.0,3661.0,3721.0,3560.0,3379.0,3068.0,3293.0,3073.0,2613.0,2502.0,2580.0,2477.0,2600.0,2571.0,2725.0,2719.0,2675.0,2684.0,2194.0,2802.0,2858.0,2582.0,2141.0,2548.0,2521.0,2208.0,2090.0,2193.0,2127.0,2175.0,2172.0,2228.0,2119.0
Netherlands,4712.0,5042.0,5083.0,5585.0,5623.0,5837.0,4817.0,5178.0,4923.0,5583.0,5808.0,5272.0,5472.0,4354.0,4477.0,5739.0,5517.0,5283.0,5082.0,5518.0,5681.0,5412.0,5171.0,5439.0,6000.0,6171.0,6409.0,6326.0,6641.0,6377.0,6075.0,5666.0,6037.0,6117.0,6571.0,6848.0,6919.0,6372.0,7368.0,6853.0,5194.0,6651.0,6937.0,6879.0,6713.0,6964.0,6995.0,6917.0,6781.0,6813.0,6657.0
United Kingdom,26896.0,27833.0,24219.0,25431.0,26667.0,22384.0,19773.0,22335.0,20467.0,20367.0,21523.0,11277.0,15573.0,13704.0,14986.0,15121.0,15722.0,14725.0,17414.0,18950.0,18740.0,17841.0,16474.0,16212.0,16625.0,17286.0,17604.0,17932.0,18501.0,17315.0,16284.0,15155.0,13543.0,11667.0,13268.0,13766.0,13239.0,13871.0,14317.0,13521.0,10079.0,9708.0,9478.0,9579.0,11858.0,12033.0,10907.0,7635.0,7491.0,7268.0,7218.0
Austria,3928.0,4079.0,3960.0,4069.0,4238.0,4699.0,4069.0,4476.0,4003.0,4335.0,4917.0,4623.0,4656.0,4258.0,4411.0,4870.0,4660.0,4292.0,4301.0,4560.0,4718.0,4291.0,4187.0,3953.0,4149.0,4399.0,4990.0,4442.0,5181.0,5282.0,5202.0,5707.0,5869.0,6189.0,6261.0,6530.0,7031.0,7129.0,7578.0,7594.0,5662.0,7206.0,7474.0,7421.0,7953.0,7876.0,7687.0,7438.0,8135.0,6885.0,7424.0
Finland,978.0,1169.0,1025.0,1456.0,1615.0,1656.0,1616.0,1649.0,2196.0,2333.0,2464.0,2508.0,2428.0,2414.0,2416.0,2639.0,2518.0,2586.0,2669.0,2798.0,2921.0,2860.0,2890.0,3077.0,3256.0,3420.0,3176.0,3301.0,3734.0,3952.0,3956.0,4096.0,3938.0,4003.0,4766.0,4832.0,4739.0,5054.0,4431.0,4417.0,3066.0,4029.0,3989.0,3759.0,3517.0,3807.0,3988.0,4101.0,4003.0,4146.0,3473.0
Greece,450.0,450.0,475.0,675.0,1087.0,926.0,666.0,715.0,759.0,936.0,1000.0,870.0,909.0,933.0,868.0,898.0,985.0,1010.0,907.0,959.0,958.0,999.0,980.0,924.0,980.0,848.0,939.0,848.0,1016.0,1109.0,951.0,1088.0,1281.0,1835.0,1701.0,1967.0,2266.0,2416.0,2554.0,2477.0,2000.0,1821.0,1934.0,1247.0,1030.0,1022.0,910.0,1158.0,1359.0,1467.0,1350.0
